# Scalar parameters of the port-task problem.  EDIT ME.
#
# source = wiki | game | guess.  Anything marked `guess` is a placeholder that
# has never been measured and must not be trusted in a result.

name	value	unit	source	note
capacity_at_1	1	tasks	wiki	concurrent port tasks
capacity_at_7	2	tasks	wiki
capacity_at_28	3	tasks	wiki	so level 30 holds 3, not 4
capacity_at_56	4	tasks	wiki
capacity_at_84	5	tasks	wiki
courier_per_board	4	tasks	game	port tasks shown per notice board
reroll_completions	8	tasks	wiki	"[confirmation needed]" on the wiki
reroll_daily	00:00	utc	wiki	rerolls all boards and resets the streak
bounty_unlock	30	level	wiki	bounty tasks share the board; we ignore them
tick	0.6	seconds	wiki	the game's quantum
sail_speed	2	tiles/tick	game	approx, at level 30; may vary with hull tier
t_dock	10	ticks	guess	docking and undocking per port
t_cargo	33	ticks	game	loading and unloading, ~20s per port stop
t_board	5	ticks	guess	reading a board and accepting one task
t_drop	3	ticks	guess	cancelling a task (port master or captain's log)
t_charter	10	ticks	guess	wiki says "only a few seconds"
t_recall	10	ticks	guess	recovering the boat at a shipwright
