# How the player moves without the boat, per port.  EDIT ME.
#
# Sailing moves the boat.  This file is everything else: charter ships and
# teleports, which move the *player* and leave the boat where it was.  That is
# what makes scouting possible - you go and read boards, then rejoin the boat.
#
#   charter        y = a charter ship serves this port.  Sourced from the wiki
#                  (oldschool.runescape.wiki/w/Charter_ship), which lists 21
#                  destinations.  Fares run 200-5,200 gp; the wiki says travel
#                  "takes only a few seconds".
#   charter_req    what gates the charter destination, blank if nothing.
#   teleport       best-known magic or item teleport landing at or near the
#                  port.  UNVERIFIED - I have not confirmed these against the
#                  game and several are a short walk from the dock rather than
#                  on it.  Correct them.
#   walk_ticks     ticks from where the teleport lands to the gangplank.
#   ticks          total player-travel time.  ALL PLACEHOLDERS - nobody has
#                  timed any of this.  Charter is written as 10 ticks (6s) on
#                  the wiki's "a few seconds"; treat every number as a guess
#                  until measured.
#
# All 30 ports are listed.  Charter availability is from the wiki's list of
# 21 charter destinations; the ones it does not serve need a teleport or a
# sail, and are the places scouting cannot reach cheaply.

port	charter	charter_req	teleport	walk_ticks	ticks	confidence
Aldarin	y	enter Varlamore	charter only	0	10	charter from wiki
Ardougne	n		Ardougne Teleport (Magic 51) / Ardougne cloak	?	?	teleport unverified
Brimhaven	y		charter only	0	10	charter from wiki
Cairn Isle	n		none known	?	?	teleport unverified
Catherby	y		charter only	0	10	charter from wiki
Civitas illa Fortis	y	enter Varlamore	charter only	0	10	charter from wiki
Corsair Cove	y		charter only	0	10	charter from wiki
Deepfin Point	y	67 Sailing	charter only	0	10	charter from wiki
Entrana	n		via Port Sarim monks	?	?	teleport unverified
Etceteria	n		Miscellania ring / Fremennik teleport	?	?	teleport unverified
Hosidius	n		Xeric's talisman / Book of the Dead	?	?	teleport unverified
Jatizso	n		Fremennik lyre + boat	?	?	teleport unverified
Land's End	y	enter Great Kourend	charter only	0	10	charter from wiki
Lunar Isle	n		Lunar teleport	?	?	teleport unverified
Musa Point	y		charter only	0	10	charter from wiki
Neitiznot	n		Fremennik lyre + boat	?	?	teleport unverified
Piscatoris	n		Piscatoris teleport / fairy ring	?	?	teleport unverified
Port Khazard	y		charter only	0	10	charter from wiki
Port Piscarilius	y	enter Great Kourend	charter only	0	10	charter from wiki
Port Roberts	y	50 Sailing	charter only	0	10	charter from wiki
Port Sarim	y		charter only	0	10	charter from wiki
Port Tyras	y	Regicide	charter only	0	10	charter from wiki
Prifddinas	y	Song of the Elves	charter only	0	10	charter from wiki
Red Rock	y	partial The Red Reef	charter only	0	10	charter from wiki
Rellekka	n		Fremennik lyre	?	?	teleport unverified
Ruins of Unkah	n		Desert amulet / carpet	?	?	teleport unverified
Sunset Coast	y	enter Varlamore	charter only	0	10	charter from wiki
The Pandemonium	y	Pandemonium quest	charter only	0	10	charter from wiki
The Summer Shore	y	Troubled Tortugans	charter only	0	10	charter from wiki
Void Knights' Outpost	n		Pest Control lander from Port Sarim	?	?	teleport unverified
